Name,Location,Ranking,ProgramDetails,TuitionFees
University of Wollongong in Malaysia,Australia,Not ranked,Environmental Engineering,"High school diploma, letter of recommendation, personal statement"
University of Wollongong in Malaysia,Australia,Not ranked,Psychology,"High school diploma, letter of recommendation, personal statement"
University of Sunderland in Hong Kong,United Kingdom,Not ranked,International Business Management,"High school diploma, personal statement, interview"
University of Sunderland in Hong Kong,United Kingdom,Not ranked,Digital Film Production,"High school diploma, personal statement, interview"
University of Sunderland in Hong Kong,United Kingdom,Not ranked,Event Management,"High school diploma, personal statement, interview"
Technische Universität Bergakademie Freiberg,Germany,Not ranked,Mining Engineering,"High School Diploma, Mathematics and Physics background"
Technische Universität Bergakademie Freiberg,Germany,Not ranked,Geosciences,"High School Diploma, Science background"
University of Surrey,UK,Not ranked,Fashion Design,"High School Diploma, Portfolio submission"
University of Surrey,UK,Not ranked,Nutrition and Dietetics,"High School Diploma, Biology background"
University of Münster,Germany,Not in top rankings,Bachelor in Economics,"High school diploma, GPA 2.5 or higher, IELTS 6.0"
University of Münster,Germany,Not in top rankings,Master in History,"Bachelor's degree, GPA 3.0 or higher, IELTS 6.5"
Amity University Kolkata,India,Private university,Bachelor in Fashion Design,"High school diploma, GPA 2.5 or higher, IELTS 6.0"
Amity University Kolkata,India,Private university,Master in Business Administration,"Bachelor's degree, GPA 3.0 or higher, IELTS 6.5"
University of Paderborn,Germany,Not in the top rankings,Bachelor in Computer Science,"High school diploma, minimum grade average of 2.5 (German system), IELTS 6.5"
University of Paderborn,Germany,Not in the top rankings,Master in Mechanical Engineering,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5"
Southern Illinois University Carbondale,USA,Not in the top rankings,Bachelor in Psychology,"High school diploma, minimum GPA of 2.75, IELTS 6.0"
Southern Illinois University Carbondale,USA,Not in the top rankings,Master in Communication Studies,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5"
Amity University Noida,India,Not in the top rankings,Bachelor in Biotechnology,"High school diploma, minimum GPA of 2.8, IELTS 6.0"
Amity University Noida,India,Not in the top rankings,Master in Computer Science,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5"
University of Malmo,Sweden,Not in the top rankings,Bachelor of Business Administration,"High school diploma, CV, motivation letter"
University of Malmo,Sweden,Not in the top rankings,Master of Computer Science,"Bachelor's degree in relevant field, CV, recommendation letter"
University of Malmo,Sweden,Not in the top rankings,PhD in Environmental Science,"Master's degree in related field, research proposal"
University of Johannesburg,South Africa,Not in the top rankings,Bachelor of Law,"High school diploma, entrance exam"
University of Johannesburg,South Africa,Not in the top rankings,Master of Public Health,"Bachelor's degree in health-related field, work experience"
University of Johannesburg,South Africa,Not in the top rankings,PhD in Economics,"Master's degree in economics, research proposal"
University of Limerick International Business School,"Limerick, Ireland",Not ranked,Bachelor of Business Studies,"High School Diploma or equivalent, IELTS 6.0"
University of Limerick International Business School,"Limerick, Ireland",Not ranked,"Master of Science in Marketing, Consumption & Society","Bachelor's degree, IELTS 6.5"
University of Lüneburg,Germany,Not ranked,Bachelor in International Business Administration,"High school diploma or equivalent, German language proficiency (B2 level), IELTS 6.0"
University of Lüneburg,Germany,Not ranked,Master in Sustainability Sciences,"Bachelor's degree, English language proficiency, IELTS 6.5"
"California State University, Chico",USA,Not ranked,Bachelor in Communication Design,"High school diploma, portfolio submission, IELTS 6.5"
"California State University, Chico",USA,Not ranked,Master of Science in Civil Engineering,"Bachelor's degree in related field, GRE scores, IELTS 6.5"
Middlesex University London,UK,Not ranked,BA Honours Fashion Design,"High school diploma or equivalent, portfolio submission, IELTS 6.0"
Middlesex University London,UK,Not ranked,MSc International Business Management,"Bachelor's degree, relevant work experience, IELTS 6.5"
"University of Newcastle, Sydney",Australia,Not ranked,Bachelor of Psychology,"High school diploma, personal statement, IELTS 6.0"
"University of Newcastle, Sydney",Australia,Not ranked,Master of Engineering Management,"Bachelor's degree in related field, work experience, IELTS 6.5"
University of Bamberg,Germany,Not in the top rankings,Bachelor in International Business Administration,"High school diploma, German language proficiency, SAT or ACT scores"
University of Bamberg,Germany,Not in the top rankings,Master in Applied Economics,"Bachelor's degree, GMAT or GRE scores, German language proficiency"
RMIT University Vietnam,Australia,Not in the top rankings,Bachelor of Design,"High school diploma, Portfolio submission, English language proficiency"
RMIT University Vietnam,Australia,Not in the top rankings,Master of Business Administration,"Bachelor's degree, Work experience, English language proficiency"
"University of California, Merced",USA,Not in the top rankings,Bachelor of Science in Environmental Engineering,"High school diploma, Math and Science proficiency, SAT scores"
"University of California, Merced",USA,Not in the top rankings,Master of Public Policy,"Bachelor's degree, GRE scores, English language proficiency"
Amity University Jaipur,India,Not in the top rankings,Bachelor of Technology in Computer Science,"High school diploma, Math and Science proficiency, Entrance exam"
Amity University Jaipur,India,Not in the top rankings,Master of Business Administration,"Bachelor's degree, Entrance exam, English language proficiency"
Memorial University of Newfoundland,Canada,Not in top rankings,Bachelor of Science in Computer Science,"High school diploma, Math and English prerequisites, minimum GPA 3.0"
Memorial University of Newfoundland,Canada,Not in top rankings,Bachelor of Business Administration,"High school diploma, Math and English prerequisites, minimum GPA 2.5"
Memorial University of Newfoundland,Canada,Not in top rankings,Bachelor of Nursing,"High school diploma, Biology and Chemistry prerequisites, minimum GPA 3.0"
University of Plymouth,UK,Not in top rankings,Bachelor of Arts in History,"High school diploma, History prerequisites, minimum GPA 2.5"
University of Plymouth,UK,Not in top rankings,Bachelor of Engineering in Mechanical Engineering,"High school diploma, Math and Physics prerequisites, minimum GPA 3.0"
University of Plymouth,UK,Not in top rankings,Bachelor of Science in Psychology,"High school diploma, Psychology prerequisites, minimum GPA 2.5"
Cologne Business School,Germany,Not in top rankings,Master of Science in International Business,"Bachelor's degree, relevant business courses, minimum GPA 2.5"
Cologne Business School,Germany,Not in top rankings,Master of Arts in Digital Marketing,"Bachelor's degree, marketing courses, minimum GPA 2.5"
Cologne Business School,Germany,Not in top rankings,Master of Science in Finance,"Bachelor's degree, finance courses, minimum GPA 2.5"
University of Southern Queensland - Springfield Campus,Australia,Not in top rankings,Bachelor of Education (Early Childhood),"High school diploma, Education prerequisites, minimum GPA 2.5"
University of Southern Queensland - Springfield Campus,Australia,Not in top rankings,Bachelor of Information Technology,"High school diploma, IT prerequisites, minimum GPA 2.5"
University of Southern Queensland - Springfield Campus,Australia,Not in top rankings,Bachelor of Science (Biomedical Science),"High school diploma, Science prerequisites, minimum GPA 2.5"
Symbiosis International University,India,Not in top rankings,Bachelor of Arts in Economics,"High school diploma, Economics prerequisites, minimum GPA 2.5"
Symbiosis International University,India,Not in top rankings,Bachelor of Science in Computer Applications,"High school diploma, Computer Science prerequisites, minimum GPA 2.5"
Symbiosis International University,India,Not in top rankings,Bachelor of Business Administration,"High school diploma, Business courses prerequisites, minimum GPA 2.5"
Mansoura University,Egypt,Not ranked,Bachelor of Medicine and Surgery,"High school diploma, Biology and Chemistry background, Admission test"
Mansoura University,Egypt,Not ranked,Bachelor of Engineering in Computer Science,"High school diploma, Mathematics background"
Mansoura University,Egypt,Not ranked,Bachelor of Arts in English Literature,"High school diploma, English proficiency"
Mansoura University,Egypt,Not ranked,Bachelor of Business Administration,High school diploma
Mansoura University,Egypt,Not ranked,Bachelor of Science in Nursing,"High school diploma, Biology background"
University of Colombo,Sri Lanka,Not ranked,Bachelor of Science in Computer Science,"High school diploma, Mathematics background"
University of Colombo,Sri Lanka,Not ranked,Bachelor of Arts in Economics,"High school diploma, Mathematics background"
University of Colombo,Sri Lanka,Not ranked,Bachelor of Laws,High school diploma
University of Colombo,Sri Lanka,Not ranked,Bachelor of Science in Biotechnology,"High school diploma, Biology background"
University of Colombo,Sri Lanka,Not ranked,Bachelor of Arts in English Language and Literature,"High school diploma, English proficiency"
University of Dhaka,Bangladesh,Not ranked,Bachelor of Business Administration,High school diploma
University of Dhaka,Bangladesh,Not ranked,Bachelor of Science in Computer Science and Engineering,"High school diploma, Mathematics background"
University of Dhaka,Bangladesh,Not ranked,Bachelor of Arts in History,"High school diploma, History background"
University of Dhaka,Bangladesh,Not ranked,Bachelor of Science in Pharmacy,"High school diploma, Chemistry and Biology background"
University of Dhaka,Bangladesh,Not ranked,Bachelor of Arts in English,"High school diploma, English proficiency"
University of Konstanz,Germany,Not in top rankings,Computer Science,"High school diploma, Mathematics background, German language proficiency"
University of Konstanz,Germany,Not in top rankings,Environmental Sciences,"High school diploma, Biology background, German language proficiency"
University of Wisconsin-Eau Claire,USA,Not in top rankings,Marketing,"High school diploma, Business coursework, SAT/ACT scores"
University of Wisconsin-Eau Claire,USA,Not in top rankings,Social Work,"High school diploma, Volunteer experience, Personal statement"
University of Exeter,UK,Not in top rankings,History,"High school diploma, History coursework, Personal statement"
University of Exeter,UK,Not in top rankings,Engineering,"High school diploma, Math and Physics coursework, Reference letters"
University of Western Australia,Australia,Not in top rankings,Business Management,"High school diploma, Business coursework, Statement of Purpose"
University of Western Australia,Australia,Not in top rankings,Nursing,"High school diploma, Science background, Clinical experience"
